Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Collision Type Description,Weather Description,Illumination Description,Street Address,City,State,Precinct,Lat,Long,HarmfulCodes,HarmfulDescriptions,ObjectId,Zip Code,RPA,Weather,IlluACCIDEmination,Collision Type,Reporting Officer,x,y
2008473471,7/14/2018 11:00:00 PM,2,2,0,,N,ANGLE,NO ADVERSE CONDITIONS,,28TH AVE N & JEFFERSON ST,NASHVILLE,TN,NORTH,36.1678515,-86.820759,,,1,37208,4525,1,1,4,225845,-9664842.6822,4323742.1271
2008787228,11/16/2018 9:33:00 AM,1,1,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,NO ADVERSE CONDITIONS,,DR D B TODD JR BLVD & PEARL ST,NASHVILLE,TN,NORTH,36.1592612,-86.801016,,,2,37203,5401,1,3,0,475881,-9662644.9015,4322557.6537
2009131786,2/19/2019 10:42:00 PM,1,1,0,,N,HEAD-ON,NO ADVERSE CONDITIONS,,4953 ASHLAND CITY HWY,NASHVILLE,TN,,36.2101056,-86.910492,,,3,37218,3235,1,1,2,562528,-9674831.714,4329570.2242
2009418107,5/27/2019 9:00:00 PM,2,0,0,,Y,REAR END,NO ADVERSE CONDITIONS,,JEFFERSON ST & 1ST AV N,,TN,,36.166,-86.775,,,4,,4311,1,1,1,571315,-9659748.8136,4323486.8221
20120135824,3/8/2021 6:05:00 PM,2,1,0,,N,Front to Rear,CLEAR,DAYLIGHT,W TRINITY LN & E TRINITY LN,NASHVILLE,TN,EAST,36.20592,-86.76898,12,MOTOR VEHICLE IN TRANSPORT,5,37207,1863,21,1,11,473670,-9659078.6703,4328992.7652
20130207124,7/23/2019 3:46:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,MM 7 2 I 440,NASHVILLE,TN,SOUTH,36.12547,-86.73329,12,MOTOR VEHICLE IN TRANSPORT,6,37210,83043,21,1,11,716886,-9655105.6776,4317899.6131
20130311458,8/23/2023 1:00:00 PM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,MM 48 8 I 24,NASHVILLE,TN,CENTRA,36.16879,-86.76631,12,MOTOR VEHICLE IN TRANSPORT,7,37213,1104,21,1,5,834807,-9658781.4472,4323871.54
20131173280,12/22/2020 6:00:00 AM,,,,,,,,,,,,,,,,,8,,,,,,
20150316352,4/9/2018 2:19:00 AM,2,0,0,,Y,ANGLE,CLEAR,DARK - LIGHTED,MM 62 4 I 24,ANTIOCH,TN,SOUTH,36.01645,-86.62305,12;39,MOTOR VEHICLE IN TRANSPORT;WALL,9,37013,8806,21,3,4,110090,-9642833.817,4302885.1028
20150550257,7/23/2019 11:40:00 PM,2,1,0,,N,ANGLE,CLOUDY,DAYLIGHT,NOLENSVILLE PKE & HARRISON ST,NASHVILLE,TN,SOUTH,36.09856,-86.73893,12,MOTOR VEHICLE IN TRANSPORT,10,37211,8431,22,1,4,420040,-9655733.5196,4314191.5645
20170000819,1/1/2018 2:45:00 PM,1,1,0,Y,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,OLD HICKORY BLVD & MARYDALE DR,NASHVILLE,TN,MADISO,36.27071,-86.76002,32,CULVERT,11,37207,2025,21,1,0,332253,-9658081.2476,4337934.8703
20170007441,1/3/2018 3:01:00 PM,2,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,WEST END AV & PARK DR,NASHVILLE,TN,MIDTOW,36.13967,-86.81874,55,Motor Vehicle-In-Motion Outside Trafficw,12,37212,5817,21,1,11,544482,-9664617.9281,4319856.8066
20170020701,1/7/2018 1:44:00 PM,1,2,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,I24 E EXT RAMP & I 24,NASHVILLE,TN,NORTH,36.04589,-86.66055,1;24,GUARDRAIL FACE,13,37207,30080,21,1,0,474557,-9647008.2979,4306937.6039
